"area","slug","title","url","dest","status","bytes","message"
"user-pdf","informatica-normativa-concorsi-pdf","PDF utente - Informatica normativa concorsi","G:\Il mio Drive\PROGETTO CAPITALE PERSONALE SITO\PROG_LIBRO_CAPITALE PERSONALE\MATERIE_PDF\Informatica_Normativa_Concorsi.pdf","wiki/raw/chapter-10-informatica/00-input/informatica-normativa-concorsi.pdf","ok","116777",""
"normativa","cad-dlgs-82-2005-vigente","D.Lgs. 82/2005 CAD testo vigente","https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2005-03-07;82!vig=/","wiki/raw/chapter-10-informatica/01-normativa-pa-digitale/cad-dlgs-82-2005-vigente.html","ok","141623",""
"normativa","cad-dlgs-179-2016","D.Lgs. 179/2016 modifiche CAD","https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179!vig=/","wiki/raw/chapter-10-informatica/01-normativa-pa-digitale/cad-dlgs-179-2016.html","ok","137855",""
"normativa","cad-dlgs-217-2017","D.Lgs. 217/2017 modifiche CAD","https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2017-12-13;217!vig=/","wiki/raw/chapter-10-informatica/01-normativa-pa-digitale/cad-dlgs-217-2017.html","ok","143046",""
"normativa","nis2-dlgs-138-2024","D.Lgs. 138/2024 decreto NIS2","https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2024-09-04;138!vig=/","wiki/raw/chapter-10-informatica/01-normativa-pa-digitale/nis2-dlgs-138-2024.html","ok","170916",""
"normativa","dpr-68-2005-pec","DPR 68/2005 PEC","https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.del.presidente.della.repubblica:2005-02-11;68!vig=/","wiki/raw/chapter-10-informatica/01-normativa-pa-digitale/dpr-68-2005-pec.html","ok","87448",""
"normativa","dlgs-36-2006-open-data","D.Lgs. 36/2006 riutilizzo informazione settore pubblico","https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2006-01-24;36!vig=/","wiki/raw/chapter-10-informatica/01-normativa-pa-digitale/dlgs-36-2006-open-data.html","ok","82980",""
"normativa","legge-4-2004-stanca","Legge 4/2004 accessibilita","https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2004-01-09;4!vig=/","wiki/raw/chapter-10-informatica/01-normativa-pa-digitale/legge-4-2004-stanca.html","ok","71981",""
"normativa","dlgs-106-2018-accessibilita","D.Lgs. 106/2018 accessibilita siti e app PA","https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2018-08-10;106!vig=/","wiki/raw/chapter-10-informatica/01-normativa-pa-digitale/dlgs-106-2018-accessibilita.html","ok","133746",""
"normativa","legge-81-2017-lavoro-agile","Legge 81/2017 lavoro agile","https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2017-05-22;81!vig=/","wiki/raw/chapter-10-informatica/01-normativa-pa-digitale/legge-81-2017-lavoro-agile.html","ok","77447",""
