slug,title,url,local_file,notes
formez-ripam-istruzioni-test-attitudinali,RIPAM - Istruzioni test attitudinali,https://sitoarcheologicoriqualificazione.formez.it/sites/all/files/Istruzioni.pdf,wiki/raw/chapter-12-logica-comprensione-ragionamento/formez-ripam-istruzioni-test-attitudinali.pdf,Official Formez/RIPAM instructions
formez-ripam-comprensione-verbale,RIPAM - Comprensione verbale,https://sitoarcheologicoriqualificazione.formez.it/sites/all/files/Comprensione%20verbale.pdf,wiki/raw/chapter-12-logica-comprensione-ragionamento/formez-ripam-comprensione-verbale-1200.pdf,Official Formez/RIPAM question bank
formez-ripam-ragionamento-numerico,RIPAM - Ragionamento numerico,https://sitoarcheologicoriqualificazione.formez.it/sites/all/files/Ragionamento%20numerico.pdf,wiki/raw/chapter-12-logica-comprensione-ragionamento/formez-ripam-ragionamento-numerico-1200.pdf,Official Formez/RIPAM question bank
formez-ripam-ragionamento-verbale,RIPAM - Ragionamento verbale,https://sitoarcheologicoriqualificazione.formez.it/sites/all/files/Ragionamento%20verbale.pdf,wiki/raw/chapter-12-logica-comprensione-ragionamento/formez-ripam-ragionamento-verbale.pdf,Official Formez/RIPAM question bank
formez-ripam-ragionamento-numerico-deduttivo,RIPAM - Ragionamento numerico deduttivo,https://sitoarcheologicoriqualificazione.formez.it/sites/all/files/Ragionamento%20numerico%20deduttivo.pdf,wiki/raw/chapter-12-logica-comprensione-ragionamento/formez-ripam-ragionamento-numerico-deduttivo.pdf,Official Formez/RIPAM question bank
formez-ripam-ragionamento-critico-verbale,RIPAM - Ragionamento critico verbale,https://sitoarcheologicoriqualificazione.formez.it/sites/all/files/Ragionamento%20critico%20verbale.pdf,wiki/raw/chapter-12-logica-comprensione-ragionamento/formez-ripam-ragionamento-critico-verbale.pdf,Official Formez/RIPAM question bank
formez-ripam-ragionamento-critico-numerico,RIPAM - Ragionamento critico numerico,https://sitoarcheologicoriqualificazione.formez.it/sites/all/files/Ragionamento%20critico%20numerico.pdf,wiki/raw/chapter-12-logica-comprensione-ragionamento/formez-ripam-ragionamento-critico-numerico.pdf,Official Formez/RIPAM question bank
formez-ripam-puglia-istruzioni-test-attitudinali,RIPAM Puglia - Istruzioni test attitudinali,https://sitoarcheologicoriqualificazione.formez.it/sites/all/files/istruzioni_test_attitudinali.pdf,wiki/raw/chapter-12-logica-comprensione-ragionamento/formez-ripam-puglia-istruzioni-test-attitudinali.pdf,Official Formez/RIPAM instructions
formez-ripam-giustizia-791-diario,Concorso RIPAM Ministero Giustizia 791 - diario prove recupero,https://sitoarcheologicoriqualificazione.formez.it/sites/all/files/diario_prove_di_recupero_min_giustizia_0.pdf,wiki/raw/chapter-12-logica-comprensione-ragionamento/formez-ripam-giustizia-791-diario-prove-recupero.pdf,Official Formez/RIPAM exam notice
formez-ripam-giustizia-791-busta-1,Concorso RIPAM Ministero Giustizia 791 - busta 1,https://sitoarcheologicoriqualificazione.formez.it/sites/all/files/busta_1_prova_scritta_giustizia_02.pdf,wiki/raw/chapter-12-logica-comprensione-ragionamento/formez-ripam-giustizia-791-busta-1.pdf,Official Formez/RIPAM administered questions
formez-ripam-giustizia-791-busta-2,Concorso RIPAM Ministero Giustizia 791 - busta 2,https://sitoarcheologicoriqualificazione.formez.it/sites/all/files/busta_2_domande_giustizia_01.pdf,wiki/raw/chapter-12-logica-comprensione-ragionamento/formez-ripam-giustizia-791-busta-2.pdf,Official Formez/RIPAM administered questions
formez-ripam-giustizia-791-busta-3,Concorso RIPAM Ministero Giustizia 791 - busta 3,https://sitoarcheologicoriqualificazione.formez.it/sites/all/files/busta_2_prova_scritta_03.pdf,wiki/raw/chapter-12-logica-comprensione-ragionamento/formez-ripam-giustizia-791-busta-3.pdf,Official Formez/RIPAM administered questions
invalsi-qdr-italiano,INVALSI - Quadro di riferimento Italiano,https://www.invalsi.it/wp-content/uploads/2024/09/QdR_ITALIANO.pdf,wiki/raw/chapter-12-logica-comprensione-ragionamento/invalsi-qdr-italiano-2018.pdf,Official assessment framework
invalsi-qdr-matematica,INVALSI - Quadro di riferimento Matematica,https://www.invalsi.it/wp-content/uploads/2024/09/QdR_MATEMATICA.pdf,wiki/raw/chapter-12-logica-comprensione-ragionamento/invalsi-qdr-matematica-2018.pdf,Official assessment framework
oecd-pisa-2018-reading,OECD PISA 2018 assessment framework - reading,https://www.oecd.org/content/dam/oecd/en/publications/reports/2019/04/pisa-2018-assessment-and-analytical-framework_d1c359c7/b25efab8-en.pdf,wiki/raw/chapter-12-logica-comprensione-ragionamento/oecd-pisa-2018-assessment-framework-reading.pdf,Open OECD framework for reading literacy
oecd-pisa-2022-mathematics,OECD PISA 2022 assessment framework - mathematics,https://www.oecd.org/content/dam/oecd/en/publications/reports/2023/08/pisa-2022-assessment-and-analytical-framework_a124aec8/dfe0bf9c-en.pdf,wiki/raw/chapter-12-logica-comprensione-ragionamento/oecd-pisa-2022-assessment-framework-mathematics.pdf,Open OECD framework for mathematical reasoning
openlogic-forallx-calgary,Open Logic Project - forall x Calgary,https://forallx.openlogicproject.org/forallxyyc.pdf,wiki/raw/chapter-12-logica-comprensione-ragionamento/openlogic-forallx-calgary.pdf,Open logic textbook
van-cleave-logic-critical-thinking,Matthew Van Cleave - Introduction to Logic and Critical Thinking,https://openlab.citytech.cuny.edu/zwintschereng1101fall2018-am/files/2018/06/Logic-text-v-1.4.pdf,wiki/raw/chapter-12-logica-comprensione-ragionamento/van-cleave-introduction-logic-critical-thinking-v1-4.pdf,Open logic and critical thinking textbook
okstate-critical-thinking,OSU Pressbooks - Critical Thinking,https://open.library.okstate.edu/criticalthinking/open/download?type=pdf,wiki/raw/chapter-12-logica-comprensione-ragionamento/okstate-critical-thinking.pdf,Open critical thinking textbook
